83.524	145.739	195.921	0.000	0.000	1.000	2.0
84.455	147.418	195.794	0.000	0.000	1.000	2.0	
82.199	146.187	198.164	0.000	0.000	1.000	2.0	
96.737	156.893	198.216	0.000	0.000	1.000	2.0	
95.888	152.452	202.114	0.000	0.000	1.000	2.0	
96.656	153.318	200.217	0.000	0.000	1.000	2.0	
101.846	143.590	206.784	0.000	0.000	1.000	2.0	
102.645	142.802	204.790	0.000	0.000	1.000	2.0	
101.779	145.029	202.606	0.000	0.000	1.000	2.0	
95.026	126.588	205.803	0.000	0.000	1.000	2.0	
96.271	130.725	199.241	0.000	0.000	1.000	2.0	
94.933	130.453	201.195	0.000	0.000	1.000	2.0	
87.473	124.753	194.890	0.000	0.000	1.000	2.0	
86.301	125.558	195.571	0.000	0.000	1.000	2.0	
87.333	126.936	192.236	0.000	0.000	1.000	2.0	
73.235	127.121	184.317	0.000	0.000	1.000	2.0	
74.954	128.167	182.811	0.000	0.000	1.000	2.0	
75.218	129.282	182.360	0.000	0.000	1.000	2.0	
57.006	146.793	175.629	0.000	0.000	1.000	2.0	
60.671	147.213	175.091	0.000	0.000	1.000	2.0	
62.093	147.392	173.296	0.000	0.000	1.000	2.0	
70.191	160.799	176.702	0.000	0.000	1.000	2.0	
67.826	158.668	182.540	0.000	0.000	1.000	2.0	
67.731	157.279	183.277	0.000	0.000	1.000	2.0	
78.429	148.736	193.030	0.000	0.000	1.000	2.0	
77.791	149.000	190.312	0.000	0.000	1.000	2.0	
75.878	148.165	193.737	0.000	0.000	1.000	2.0	
77.592	162.143	187.495	0.000	0.000	1.000	2.0	
77.095	159.463	189.715	0.000	0.000	1.000	2.0	
78.012	161.180	188.347	0.000	0.000	1.000	2.0	
71.666	138.332	183.743	0.000	0.000	1.000	2.0	
71.245	138.226	182.746	0.000	0.000	1.000	2.0	
71.590	140.070	180.882	0.000	0.000	1.000	2.0	
61.855	133.249	177.443	0.000	0.000	1.000	2.0	
63.699	131.619	177.528	0.000	0.000	1.000	2.0	
64.113	129.341	179.074	0.000	0.000	1.000	2.0	
86.405	169.968	195.347	0.000	0.000	1.000	2.0	
87.246	171.033	195.893	0.000	0.000	1.000	2.0	
86.792	169.017	199.550	0.000	0.000	1.000	2.0	
84.332	158.649	195.551	0.000	0.000	1.000	2.0	
85.360	158.360	197.639	0.000	0.000	1.000	2.0	
82.989	155.298	204.946	0.000	0.000	1.000	2.0	
72.376	181.650	181.494	0.000	0.000	1.000	2.0	
71.369	181.298	177.313	0.000	0.000	1.000	2.0	
72.538	182.845	177.626	0.000	0.000	1.000	2.0	
76.382	173.645	185.887	0.000	0.000	1.000	2.0	
76.619	173.101	188.195	0.000	0.000	1.000	2.0	
78.408	176.219	182.654	0.000	0.000	1.000	2.0	
103.535	171.220	204.558	0.000	0.000	1.000	2.0	
103.728	171.397	209.504	0.000	0.000	1.000	2.0	
103.950	173.219	203.041	0.000	0.000	1.000	2.0	
94.207	174.859	199.903	0.000	0.000	1.000	2.0	
96.552	170.373	200.431	0.000	0.000	1.000	2.0	
96.932	174.412	201.054	0.000	0.000	1.000	2.0	
87.802	140.343	194.499	0.000	0.000	1.000	2.0	
88.491	136.550	197.780	0.000	0.000	1.000	2.0	
88.225	136.174	197.951	0.000	0.000	1.000	2.0	
109.630	118.274	208.354	0.000	0.000	1.000	2.0	
107.391	122.332	204.949	0.000	0.000	1.000	2.0	
106.460	123.921	204.382	0.000	0.000	1.000	2.0	
