86.400	151.965	196.292	1.000	0.000	0.000	2.0
85.804	152.038	198.317	1.000	0.000	0.000	2.0	
86.076	149.937	199.781	1.000	0.000	0.000	2.0	
95.162	150.824	200.352	1.000	0.000	0.000	2.0	
94.686	150.716	203.646	1.000	0.000	0.000	2.0	
93.246	151.978	201.397	1.000	0.000	0.000	2.0	
108.975	136.742	207.966	1.000	0.000	0.000	2.0	
109.284	138.846	206.481	1.000	0.000	0.000	2.0	
108.182	139.246	206.678	1.000	0.000	0.000	2.0	
94.909	127.812	198.364	1.000	0.000	0.000	2.0	
95.832	129.444	198.565	1.000	0.000	0.000	2.0	
99.121	129.772	197.593	1.000	0.000	0.000	2.0	
87.917	116.960	195.041	1.000	0.000	0.000	2.0	
88.193	119.950	192.091	1.000	0.000	0.000	2.0	
86.531	120.689	193.911	1.000	0.000	0.000	2.0	
73.137	125.435	185.721	1.000	0.000	0.000	2.0	
75.571	126.271	187.374	1.000	0.000	0.000	2.0	
73.363	125.396	188.679	1.000	0.000	0.000	2.0	
77.941	138.611	188.478	1.000	0.000	0.000	2.0	
78.707	137.000	188.628	1.000	0.000	0.000	2.0	
77.887	137.728	189.749	1.000	0.000	0.000	2.0	
70.455	135.760	182.255	1.000	0.000	0.000	2.0	
73.397	141.493	173.432	1.000	0.000	0.000	2.0	
69.446	134.463	184.904	1.000	0.000	0.000	2.0	
59.460	142.899	173.947	1.000	0.000	0.000	2.0	
61.653	141.341	174.839	1.000	0.000	0.000	2.0	
60.020	141.748	173.927	1.000	0.000	0.000	2.0	
67.983	157.873	177.850	1.000	0.000	0.000	2.0	
66.900	158.956	179.365	1.000	0.000	0.000	2.0	
67.563	158.313	182.419	1.000	0.000	0.000	2.0	
80.253	172.394	185.513	1.000	0.000	0.000	2.0	
81.816	173.607	188.709	1.000	0.000	0.000	2.0	
78.394	173.233	188.224	1.000	0.000	0.000	2.0	
80.292	161.338	195.775	1.000	0.000	0.000	2.0	
83.303	160.335	198.101	1.000	0.000	0.000	2.0	
83.547	165.451	189.383	1.000	0.000	0.000	2.0	
93.277	168.074	200.508	1.000	0.000	0.000	2.0	
93.930	166.912	200.490	1.000	0.000	0.000	2.0	
95.225	165.263	204.768	1.000	0.000	0.000	2.0	
102.785	153.174	205.551	1.000	0.000	0.000	2.0	
102.072	155.452	203.218	1.000	0.000	0.000	2.0	
103.164	154.826	204.548	1.000	0.000	0.000	2.0	
85.383	138.165	194.272	1.000	0.000	0.000	2.0	
85.876	137.811	192.976	1.000	0.000	0.000	2.0	
85.470	135.652	196.738	1.000	0.000	0.000	2.0	
60.710	163.736	171.823	1.000	0.000	0.000	2.0	
60.272	162.001	171.290	1.000	0.000	0.000	2.0	
60.626	159.317	177.398	1.000	0.000	0.000	2.0	
64.598	177.935	178.604	1.000	0.000	0.000	2.0	
67.078	178.363	173.544	1.000	0.000	0.000	2.0	
65.874	177.645	171.028	1.000	0.000	0.000	2.0	
72.438	169.194	188.210	1.000	0.000	0.000	2.0	
71.535	170.159	181.270	1.000	0.000	0.000	2.0	
70.568	169.293	184.734	1.000	0.000	0.000	2.0	
77.183	188.257	179.179	1.000	0.000	0.000	2.0	
73.272	185.523	182.882	1.000	0.000	0.000	2.0	
74.547	186.219	185.603	1.000	0.000	0.000	2.0	
53.109	171.674	174.806	1.000	0.000	0.000	2.0	
56.406	175.425	170.855	1.000	0.000	0.000	2.0	
60.551	176.375	166.632	1.000	0.000	0.000	2.0	
